Program, Package , Core(s) , GPU , DRAM? , Time (msec) 
seo ,0.014038,0.00708,0,0,7843
seo ,0.02179,0.009521,0.001953,0,8951
seo ,0.016907,0.006226,0.00116,0,8094
seo ,0.019714,0.009338,0.001526,0,8616
seo ,0.015564,0.006836,0.00116,0,8269
seo ,0.016296,0.006348,0.001648,0,7981
seo ,0.013062,0.00708,0.000488,0,5935
seo ,0.013428,0.006409,0.000488,0,5384
seo ,0.010986,0.006287,0,0,5216
seo ,0.010193,0.005981,0,0,5124
