Program, Package , Core(s) , GPU , DRAM? , Time (ms) , Temperature , Memory 
seo , 0.034180 , 0.016785 , 0.000916 , 0.000000 , 14 , 44.0 , 0 
seo , 0.044312 , 0.027039 , 0.003113 , 0.000000 , 9 , 44.0 , 0 
seo , 0.038147 , 0.026733 , 0.000061 , 0.000000 , 3 , 44.0 , 0 
seo , 0.039673 , 0.033691 , 0.000061 , 0.000000 , 2 , 44.0 , 0 
seo , 0.035889 , 0.024963 , 0.000000 , 0.000000 , 2 , 44.0 , 0 
seo , 0.037415 , 0.029297 , 0.000000 , 0.000000 , 2 , 44.0 , 0 
seo , 0.038330 , 0.038818 , 0.000916 , 0.000000 , 3 , 44.0 , 0 
seo , 0.054260 , 0.037354 , 0.001648 , 0.000000 , 3 , 44.0 , 0 
seo , 0.041809 , 0.035400 , 0.001648 , 0.000000 , 3 , 44.0 , 0 
seo , 0.031067 , 0.024353 , 0.000000 , 0.000000 , 2 , 44.0 , 0 
